# outlier run
# 12 Sept 18
#   seed: 3 

      tss accuracy       auc
 [1,]  40   0.7163 0.8194106
 [2,]  50   0.7356 0.8036130
 [3,]  60   0.7604 0.8072333
 [4,]  70   0.8091 0.8146238
 [5,]  80   0.8034 0.8014514
 [6,]  90   0.8230 0.8096383
 [7,] 100   0.8400 0.8151672
 [8,] 110   0.8234 0.8174222
 [9,] 120   0.8644 0.8389011
[10,] 130   0.8582 0.8324627
[11,] 140   0.8699 0.8325136
[12,] 150   0.8716 0.8279525
[13,] 160   0.8790 0.8263760
[14,] 170   0.8730 0.8277788
[15,] 180   0.8703 0.8282718
[16,] 190   0.8806 0.8354866
[17,] 200   0.8828 0.8397492
[18,] 210   0.8795 0.8393088
[19,] 220   0.8665 0.8279932
[20,] 230   0.8792 0.8414507
[21,] 240   0.8792 0.8375622
